sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
377,4,A,,btx:Transaction Header Detail Description,,0..1,,Description of this line of detail only,btx,btx:Transaction_ Detail,BT32a_CO29_15,/BT30a/BT31a/BT32a/BT32a_CO29_15,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Description,BtxbTran.BtxtHedr.BtxtDetl.CortDetlDesc,説明,この明細行のみに対する説明。,btx:transactionHeaderDetailDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailDescription
378,4,A,,btx:Transaction Header Detail Acknowledgement Date,,0..1,,Date of acknowledgement of goods/services shipped/received.,btx,btx:Transaction_ Detail,BT32a_CO29_16,/BT30a/BT31a/BT32a/BT32a_CO29_16,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Acknowledgement Date,BtxbTran.BtxtHedr.BtxtDetl.CortDetlAcktDat,承認日付,出荷/受領済みの物品/サービスを承認した日付。,btx:transactionHeaderDetailAcknowledgementDate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailAcknowledgementDate
379,4,A,,btx:Transaction Header Detail Confirmation Date,,0..1,,Date of confirmation of shipment/receipt.,btx,btx:Transaction_ Detail,BT32a_CO29_17,/BT30a/BT31a/BT32a/BT32a_CO29_17,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Confirmation Date,BtxbTran.BtxtHedr.BtxtDetl.CortDetlConfDat,確認日付,出荷/受領を確認した日付。,btx:transactionHeaderDetailConfirmationDate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailConfirmationDate
380,4,A,,btx:Transaction Header Detail Measurable Class Identifier,,0..1,,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",btx,btx:Transaction_ Detail,BT32a_BT29_18,/BT30a/BT31a/BT32a/BT32a_BT29_18,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.btx:Transaction Detail Measurable Class Identifier,BtxbTran.BtxtHedr.BtxtDetl.BtxtDetlMesrClasIdnr,測定可能分類コード,在庫、固定資産、その他の測定可能な分類を識別するための列挙コード。列挙例：原材料、仕掛品、製品、組立品、備品、土地、建物、機械、家具、車両、その他。,btx:transactionHeaderDetailMeasurableClassIdentifier,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailMeasurableClassIdentifier
381,4,A,,btx:Transaction Header Detail Measurable Class Description,,0..1,,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,btx,btx:Transaction_ Detail,BT32a_EH05_19,/BT30a/BT31a/BT32a/BT32a_EH05_19,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Transaction Detail Measurable Class Description,BtxbTran.BtxtHedr.BtxtDetl.EhmnDetlMesrClasDesc,測定可能分類の説明,「その他」の列挙値を補足・特定するための自由記述形式の説明。,btx:transactionHeaderDetailMeasurableClassDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailMeasurableClassDescription
382,4,A,,btx:Transaction Header Detail Geospatial Coordinate,,0..1,,"Enter a relevant location for this item. Format can be either:
- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E
- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418
- Decimal degrees (DD): 41.40338, 2.17403",btx,btx:Transaction_ Detail,BT32a_EH05_20,/BT30a/BT31a/BT32a/BT32a_EH05_20,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.ehm:Transaction Detail Geospatial Coordinate,BtxbTran.BtxtHedr.BtxtDetl.EhmnDetlGespCord,地理座標,"本項目の関連位置を入力。形式は以下のいずれか：
・度分秒 (DMS): 41°24'12.2""N 2°10'26.5""E
・度と小数分 (DMM): 41 24.2028, 2 10.4418
・10進度 (DD): 41.40338, 2.17403",btx:transactionHeaderDetailGeospatialCoordinate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailGeospatialCoordinate
383,4,R,,btx:Transaction Header Detail Account Identifier,,0..*,,"Class: parent container for account numbers and identifiers applied at the transaction detail (line) level. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",cor,btx:Transaction_ Detail,CO09a,/BT30a/BT31a/BT32a/CO09a,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Detail_ Account Identifier,BtxbTran.BtxtHedr.BtxtDetl.CordAcctIdnr,【行科目識別子】,"クラス。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",btx:transactionHeaderDetailAccountIdentifier,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailAccountIdentifier
385,4,C,,btx:Transaction Header Detail Amount,,0..*,,"Structure representing monetary amounts and currency information applicable to an individual line, such as line-level net amounts, tax calculation bases, allowances, or charges.",btx,btx:Detail_ Amount,BT05a,/BT30a/BT31a/BT32a/BT05a,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.btx:Detail_ Amount,BtxbTran.BtxtHedr.BtxtDetl.BtxdAmnt,【行金額構造】,個々の明細行に適用される金額や通貨情報（行レベルの正味金額、税計算基礎額、値引または追加請求など）を表現する構造。,btx:transactionHeaderDetailAmount,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailAmount
386,5,A,,btx:Transaction Header Detail Amount Value,,1,,Numeric value of the monetary amount expressed in the specified currency.,btx,btx:Detail_ Amount,BT05a_01,/BT30a/BT31a/BT32a/BT05a/BT05a_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.btx:Detail_ Amount.btx:Transaction Detail Amount Value,BtxbTran.BtxtHedr.BtxtDetl.BtxdAmnt.BtxtDetlAmntVal,金額,指定された通貨で表現された金額の数値。,btx:transactionHeaderDetailAmountValue,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailAmount/btx:transactionHeaderDetailAmountValue
387,5,A,,btx:Transaction Header Detail Amount Type,,0..1,,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",btx,btx:Detail_ Amount,BT05a_02,/BT30a/BT31a/BT32a/BT05a/BT05a_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.btx:Detail_ Amount.btx:Transaction Detail Amount Type,BtxbTran.BtxtHedr.BtxtDetl.BtxdAmnt.BtxtDetlAmntType,金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。,btx:transactionHeaderDetailAmountType,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailAmount/btx:transactionHeaderDetailAmountType
388,5,A,,btx:Transaction Header Detail Amount Currency Code,,0..1,,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",btx,btx:Detail_ Amount,BT05a_03,/BT30a/BT31a/BT32a/BT05a/BT05a_03,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.btx:Detail_ Amount.btx:Transaction Detail Amount Currency Code,BtxbTran.BtxtHedr.BtxtDetl.BtxdAmnt.BtxtDetlAmntCurrCod,通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。,btx:transactionHeaderDetailAmountCurrencyCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailAmount/btx:transactionHeaderDetailAmountCurrencyCode
389,5,A,,btx:Transaction Header Detail Amount Currency Code Type,,0..1,,"Code specifying the role of the currency used for the amount, such as functional currency, local currency, reporting currency, or transaction currency.",btx,btx:Detail_ Amount,BT05a_04,/BT30a/BT31a/BT32a/BT05a/BT05a_04,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.btx:Detail_ Amount.btx:Transaction Detail Amount Currency Code Type,BtxbTran.BtxtHedr.BtxtDetl.BtxdAmnt.BtxtDetlAmntCurrCodType,通貨コード種別,金額に対する通貨の役割（機能通貨、ローカル通貨、報告通貨、取引通貨など）を指定するコード。,btx:transactionHeaderDetailAmountCurrencyCodeType,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailAmount/btx:transactionHeaderDetailAmountCurrencyCodeType
390,5,A,,btx:Transaction Header Detail Amount Adjustment Reason Description Code,,0..1,,UNTDED 4465 Adjustment reason description code. Code specifying the reason for an adjustment.,btx,btx:Detail_ Amount,BT05a_05,/BT30a/BT31a/BT32a/BT05a/BT05a_05,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.btx:Detail_ Amount.btx:Transaction Detail Amount Adjustment Reason Description Code,BtxbTran.BtxtHedr.BtxtDetl.BtxdAmnt.BtxtDetlAmntAdjtResnDescCod,調整理由説明コード,調整（値引・加算等）の理由を指定するコード（UNTDED 4465）。,btx:transactionHeaderDetailAmountAdjustmentReasonDescriptionCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailAmount/btx:transactionHeaderDetailAmountAdjustmentReasonDescriptionCode
391,4,C,,muc:Transaction Header Detail Multicurrency,,0..*,,Class to provide additional information related to home currencies that differ from original currencies applied at the transaction detail (line) level and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,muc,muc:Detail_ Multicurrency,MC02a,/BT30a/BT31a/BT32a/MC02a,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.muc:Detail_ Multicurrency,BtxbTran.BtxtHedr.BtxtDetl.MucdMult,【行多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",muc:transactionHeaderDetailMulticurrency,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/muc:transactionHeaderDetailMulticurrency
392,5,A,,muc:Transaction Header Detail Multicurrency Exchange Rate Date,,0..1,,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,muc,muc:Detail_ Multicurrency,MC02a_01,/BT30a/BT31a/BT32a/MC02a/MC02a_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.muc:Detail_ Multicurrency.muc:Transaction Detail Multicurrency Exchange Rate Date,BtxbTran.BtxtHedr.BtxtDetl.MucdMult.MuctDetlMultExcgRatDat,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。,muc:transactionHeaderDetailMulticurrencyExchangeRateDate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/muc:transactionHeaderDetailMulticurrency/muc:transactionHeaderDetailMulticurrencyExchangeRateDate
393,5,A,,muc:Transaction Header Detail Multicurrency Foreign Currency Amount,,0..1,,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,muc,muc:Detail_ Multicurrency,MC02a_02,/BT30a/BT31a/BT32a/MC02a/MC02a_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.muc:Detail_ Multicurrency.muc:Transaction Detail Multicurrency Foreign Currency Amount,BtxbTran.BtxtHedr.BtxtDetl.MucdMult.MuctDetlMultForgCurrAmnt,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。,muc:transactionHeaderDetailMulticurrencyForeignCurrencyAmount,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/muc:transactionHeaderDetailMulticurrency/muc:transactionHeaderDetailMulticurrencyForeignCurrencyAmount
