sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element
1068,5,A,,Address,xbrli:stringItemType,0..1,,E-mail address,gl-cor,0,Email Address,GE03b_02,/CO02a/GE03b_02,$.Accounting Entries.Entity Information.Contact.Email Address.Address,AccntEntrs.EnttyInfrm.Cnt.EmlAdr.Adr,Eメールアドレス,Eメールアドレス。,gl-bus:contactEmailAddress
1069,3,C,,Accounting Method,,0..1,,Section for identifying the methods of accounting used by the entity for different reporting purposes,gl-cor,0,Accounting Method,BU02a,/CO02a/BU02a,$.Accounting Entries.Entity Information.Accounting Method,AccntEntrs.EnttyInfrm.AccntMethd,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,gl-bus:organizationAccountingMethodStructure
1070,4,A,,Accounting Method,xbrli:stringItemType,0..1,,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",gl-cor,0,Accounting Method,BU02a_01,/CO02a/BU02a_01,$.Accounting Entries.Entity Information.Accounting Method.Accounting Method,AccntEntrs.EnttyInfrm.AccntMethd.AccntMethd,会計処理方法,事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他\n[設定値のリスト]\n(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)\n,gl-bus:organizationAccountingMethod
1071,4,A,,Accounting Method Description,xbrli:stringItemType,0..1,,Free format description of the accounting method,gl-cor,0,Accounting Method,BU02a_02,/CO02a/BU02a_02,$.Accounting Entries.Entity Information.Accounting Method.Accounting Method Description,AccntEntrs.EnttyInfrm.AccntMethd.AccntMethdDscr,会計処理方法説明,会計処理方法の説明。,gl-bus:organizationAccountingMethodDescription
1072,4,A,,Accounting Method Purpose,xbrli:stringItemType,0..1,,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",gl-cor,0,Accounting Method,BU02a_03,/CO02a/BU02a_03,$.Accounting Entries.Entity Information.Accounting Method.Accounting Method Purpose,AccntEntrs.EnttyInfrm.AccntMethd.AccntMethdPrps,会計処理方法目的,事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他),gl-bus:organizationAccountingMethodPurpose
1073,4,A,,Accounting Method Purpose Description,xbrli:stringItemType,0..1,,Free format description of the accounting method purpose,gl-cor,0,Accounting Method,BU02a_04,/CO02a/BU02a_04,$.Accounting Entries.Entity Information.Accounting Method.Accounting Method Purpose Description,AccntEntrs.EnttyInfrm.AccntMethd.AccntMethdPrpsDscr,会計処理方法目的説明,会計処理方法の目的の説明。,gl-bus:organizationAccountingMethodPurposeDescription
1074,4,A,,Accounting Method Start Date,xbrli:stringItemType,0..1,,Accounting Method Start Date,gl-cor,0,Accounting Method,BU02a_05,/CO02a/BU02a_05,$.Accounting Entries.Entity Information.Accounting Method.Accounting Method Start Date,AccntEntrs.EnttyInfrm.AccntMethd.AccntMethdStrtDt,会計処理方法開始日付,会計処理方法の開始日。,gl-bus:organizationAccountingMethodStartDate
1075,4,A,,Accounting Method End Date,xbrli:stringItemType,0..1,,Accounting Method End Date,gl-cor,0,Accounting Method,BU02a_06,/CO02a/BU02a_06,$.Accounting Entries.Entity Information.Accounting Method.Accounting Method End Date,AccntEntrs.EnttyInfrm.AccntMethd.AccntMethdEndDt,会計処理方法終了日付,会計処理方法の終了日。,gl-bus:organizationAccountingMethodEndDate
1076,3,C,,Accountant,,0..1,,Information about the relevant external accountant,gl-cor,0,Accountant,BU01a,/CO02a/BU01a,$.Accounting Entries.Entity Information.Accountant,AccntEntrs.EnttyInfrm.Accnt,【会計士情報】,関連する外部会計士に関する情報。,gl-bus:accountantInformation
1077,4,A,,Accountant Name,xbrli:stringItemType,0..1,,Name of the accountant,gl-cor,0,Accountant,BU01a_01,/CO02a/BU01a_01,$.Accounting Entries.Entity Information.Accountant.Accountant Name,AccntEntrs.EnttyInfrm.Accnt.AccntNam,会計士名,会計士の名前。,gl-bus:accountantName
1078,4,A,,Type of Engagement,xbrli:stringItemType,0..1,,Type of engagement being performed by external accountant,gl-cor,0,Accountant,BU01a_03,/CO02a/BU01a_03,$.Accounting Entries.Entity Information.Accountant.Type of Engagement,AccntEntrs.EnttyInfrm.Accnt.TypOfEnggm,契約種別,外部会計士によって実行される契約の種別。\n[設定値のリスト]\n(audit：監査)、(review：検査)、(compilation：調整)、(tax：税)、(other：その他) ,gl-bus:accountantEngagementType
1079,4,A,,Type of Engagement Description,xbrli:stringItemType,0..1,,Free format description of the type of engagement,gl-cor,0,Accountant,BU01a_04,/CO02a/BU01a_04,$.Accounting Entries.Entity Information.Accountant.Type of Engagement Description,AccntEntrs.EnttyInfrm.Accnt.TypOfEnggmDscr,契約種別説明,契約種別の説明。,gl-bus:accountantEngagementTypeDescription
1080,4,C,,Address,,0..1,,Section which contains address information.,gl-cor,0,Address,GE01b,/CO02a/GE01b,$.Accounting Entries.Entity Information.Accountant.Address,AccntEntrs.EnttyInfrm.Accnt.Adr,【住所】,住所情報を含むセクション。,gl-bus:accountantAddress
1081,5,A,,Address Name,xbrli:stringItemType,0..1,,Address Name,gl-cor,0,Address,GE01b_01,/CO02a/GE01b_01,$.Accounting Entries.Entity Information.Accountant.Address.Address Name,AccntEntrs.EnttyInfrm.Accnt.Adr.AdrNam,住所名,住所の名前。,gl-bus:accountantAddressName
1082,5,A,,Address Description,xbrli:stringItemType,0..1,,Address Description,gl-cor,0,Address,GE01b_02,/CO02a/GE01b_02,$.Accounting Entries.Entity Information.Accountant.Address.Address Description,AccntEntrs.EnttyInfrm.Accnt.Adr.AdrDscr,住所説明,住所の説明。,gl-bus:accountantAddressDescription
1083,5,A,,Address Purpose,xbrli:stringItemType,0..1,,Address Purpose,gl-cor,0,Address,GE01b_03,/CO02a/GE01b_03,$.Accounting Entries.Entity Information.Accountant.Address.Address Purpose,AccntEntrs.EnttyInfrm.Accnt.Adr.AdrPrps,住所目的,住所の目的。,gl-bus:accountantAddressPurpose
1084,5,A,,Location Identifier,xbrli:stringItemType,0..1,,A code used to identify the location and to associate it with contacts and transactions,gl-cor,0,Address,GE01b_04,/CO02a/GE01b_04,$.Accounting Entries.Entity Information.Accountant.Address.Location Identifier,AccntEntrs.EnttyInfrm.Accnt.Adr.LctIdntf,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,gl-bus:accountantAddressLocationIdentifier
1085,5,A,,Building Number,xbrli:stringItemType,0..1,,Building Number,gl-cor,0,Address,GE01b_05,/CO02a/GE01b_05,$.Accounting Entries.Entity Information.Accountant.Address.Building Number,AccntEntrs.EnttyInfrm.Accnt.Adr.BldngNr,住所建物番号,建物番号。,gl-bus:accountantBuildingNumber
1086,5,A,,Street,xbrli:stringItemType,0..1,,Street address,gl-cor,0,Address,GE01b_06,/CO02a/GE01b_06,$.Accounting Entries.Entity Information.Accountant.Address.Street,AccntEntrs.EnttyInfrm.Accnt.Adr.Strt,住所通り,住所の通り。,gl-bus:accountantStreet
1087,5,A,,Address Detail,xbrli:stringItemType,0..1,,Address Detail,gl-cor,0,Address,GE01b_07,/CO02a/GE01b_07,$.Accounting Entries.Entity Information.Accountant.Address.Address Detail,AccntEntrs.EnttyInfrm.Accnt.Adr.AdrDetl,住所詳細,住所詳細。,gl-bus:accountantAddressStreet2
1088,5,A,,City,xbrli:stringItemType,0..1,,City,gl-cor,0,Address,GE01b_08,/CO02a/GE01b_08,$.Accounting Entries.Entity Information.Accountant.Address.City,AccntEntrs.EnttyInfrm.Accnt.Adr.Cty,住所都市,住所の都市。,gl-bus:accountantCity
1089,5,A,,State or Province,xbrli:stringItemType,0..1,,"State, province or region",gl-cor,0,Address,GE01b_09,/CO02a/GE01b_09,$.Accounting Entries.Entity Information.Accountant.Address.State or Province,AccntEntrs.EnttyInfrm.Accnt.Adr.SttOrPrvnc,住所州,住所の州や地方。,gl-bus:accountantStateOrProvince
1090,5,A,,Country,xbrli:stringItemType,0..1,,Country,gl-cor,0,Address,GE01b_10,/CO02a/GE01b_10,$.Accounting Entries.Entity Information.Accountant.Address.Country,AccntEntrs.EnttyInfrm.Accnt.Adr.Cntry,住所国,住所の国。,gl-bus:accountantCountry
1091,5,A,,Zip or Postal Code,xbrli:stringItemType,0..1,,Zip or other postal code,gl-cor,0,Address,GE01b_11,/CO02a/GE01b_11,$.Accounting Entries.Entity Information.Accountant.Address.Zip or Postal Code,AccntEntrs.EnttyInfrm.Accnt.Adr.ZpOrPstlCd,住所郵便番号,住所の郵便番号。,gl-bus:accountantZipOrPostalCode
1092,4,C,,Contact,,0..1,,Contact Information Structure,gl-cor,0,Contact,GE02b,/CO02a/GE02b,$.Accounting Entries.Entity Information.Accountant.Contact,AccntEntrs.EnttyInfrm.Accnt.Cnt,【担当者情報】,担当者情報の構造体。,gl-bus:accountantContactInformation
1093,5,A,,Prefix,xbrli:stringItemType,0..1,,"Prefix (e.g. Dr., Mr., Mrs., etc.) for Contact",gl-cor,0,Contact,GE02b_01,/CO02a/GE02b_01,$.Accounting Entries.Entity Information.Accountant.Contact.Prefix,AccntEntrs.EnttyInfrm.Accnt.Cnt.Prfx,担当者敬称,担当者の敬称(Dr.、Mr.、Mrs.など)\n,gl-bus:accountantContactPrefix
1094,5,A,,Last Name,xbrli:stringItemType,0..1,,Family Name for Contact,gl-cor,0,Contact,GE02b_02,/CO02a/GE02b_02,$.Accounting Entries.Entity Information.Accountant.Contact.Last Name,AccntEntrs.EnttyInfrm.Accnt.Cnt.LastNam,担当者姓,担当者の姓\n,gl-bus:accountantContactLastName
1095,5,A,,First Name,xbrli:stringItemType,0..1,,First or Given Name for Contact,gl-cor,0,Contact,GE02b_03,/CO02a/GE02b_03,$.Accounting Entries.Entity Information.Accountant.Contact.First Name,AccntEntrs.EnttyInfrm.Accnt.Cnt.FrstNam,担当者名,担当者の名、クリスチャンネーム\n,gl-bus:accountantContactFirstName
1096,5,A,,Suffix,xbrli:stringItemType,0..1,,"Suffix (e.g. MD, CPA, Jr., etc.)",gl-cor,0,Contact,GE02b_04,/CO02a/GE02b_04,$.Accounting Entries.Entity Information.Accountant.Contact.Suffix,AccntEntrs.EnttyInfrm.Accnt.Cnt.Sffx,担当者付加名称,付加名称(MD、CPA、Jr.など)\n,gl-bus:accountantContactSuffix
1097,5,A,,Attention Line,xbrli:stringItemType,0..1,,Attention Line for Contact,gl-cor,0,Contact,GE02b_05,/CO02a/GE02b_05,$.Accounting Entries.Entity Information.Accountant.Contact.Attention Line,AccntEntrs.EnttyInfrm.Accnt.Cnt.AttntLn,担当者アテンションライン,担当者のアテンションライン\n,gl-bus:accountantContactAttentionLine
1098,5,A,,Position/Role,xbrli:stringItemType,0..1,,Position or Role for Contact,gl-cor,0,Contact,GE02b_06,/CO02a/GE02b_06,$.Accounting Entries.Entity Information.Accountant.Contact.Position/Role,AccntEntrs.EnttyInfrm.Accnt.Cnt.Pstnr,担当者地位/役職,担当者の地位や役職\n,gl-bus:accountantContactPositionRole
1099,5,A,,Contact Type,xbrli:stringItemType,0..1,,Contact Type for Contact,gl-cor,0,Contact,GE02b_07,/CO02a/GE02b_07,$.Accounting Entries.Entity Information.Accountant.Contact.Contact Type,AccntEntrs.EnttyInfrm.Accnt.Cnt.CntTyp,担当者役割,担当者の種別\n,gl-bus:accountantContactType
1100,5,A,,Location ID cross reference,xbrli:stringItemType,0..1,,This code is used to associate the contact with a specific location for the Accountant. Its value should be the same as that of the accountantAddressLocationIdentifier,gl-cor,0,Contact,GE02b_08,/CO02a/GE02b_08,$.Accounting Entries.Entity Information.Accountant.Contact.Location ID cross reference,AccntEntrs.EnttyInfrm.Accnt.Cnt.LctIdCrssRef,所在地相互参照情報,担当者と所在地情報を関係付けるためのコード。addressLocationIdentifierと同じ値であるべき。,gl-bus:accountantLocationIdentifierCrossReference
1101,5,C,,Phone Number,,0..1,,Phone Number,gl-cor,0,Phone Number,GE05c,/CO02a/GE05c,$.Accounting Entries.Entity Information.Accountant.Contact.Phone Number,AccntEntrs.EnttyInfrm.Accnt.Cnt.PhnNr,【電話番号】,電話番号,gl-bus:accountantContactPhone
1102,6,A,,Description,xbrli:stringItemType,0..1,,"Phone Number Description such as Main, Investor relations, etc.",gl-cor,0,Phone Number,GE05c_01,/CO02a/GE05c_01,$.Accounting Entries.Entity Information.Accountant.Contact.Phone Number.Description,AccntEntrs.EnttyInfrm.Accnt.Cnt.PhnNr.Dscr,電話番号説明,代表、IR用などの、電話番号の説明。 [設定値のリスト] (bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR担当者)、(main：代表)、(switchboard：交換台)、(other：その他) ,gl-bus:accountantContactPhoneNumberDescription
1103,6,A,,Number,xbrli:stringItemType,0..1,,phone number referred to in the description.,gl-cor,0,Phone Number,GE05c_02,/CO02a/GE05c_02,$.Accounting Entries.Entity Information.Accountant.Contact.Phone Number.Number,AccntEntrs.EnttyInfrm.Accnt.Cnt.PhnNr.Nr,電話番号,説明で示される担電話番号,gl-bus:accountantContactPhoneNumber
1104,5,C,,Fax Number,,0..1,,Fax Number Structure,gl-cor,0,Fax Number,GE04c,/CO02a/GE04c,$.Accounting Entries.Entity Information.Accountant.Contact.Fax Number,AccntEntrs.EnttyInfrm.Accnt.Cnt.FaxNr,【FAX番号】,FAX番号の構造体。,gl-bus:accountantContactFax
1105,6,A,,Number,xbrli:stringItemType,0..1,,Fax Number,gl-cor,0,Fax Number,GE04c_01,/CO02a/GE04c_01,$.Accounting Entries.Entity Information.Accountant.Contact.Fax Number.Number,AccntEntrs.EnttyInfrm.Accnt.Cnt.FaxNr.Nr,FAX番号,FAX番号。,gl-bus:accountantContactFaxNumber
1106,6,A,,Usage,xbrli:stringItemType,0..1,,"Fax Number Usage (e.g. orders, head office, IR)",gl-cor,0,Fax Number,GE04c_02,/CO02a/GE04c_02,$.Accounting Entries.Entity Information.Accountant.Contact.Fax Number.Usage,AccntEntrs.EnttyInfrm.Accnt.Cnt.FaxNr.Usg,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),gl-bus:accountantContactFaxNumberUsage
1107,5,C,,Email Address,,0..1,,E-mail address structure,gl-cor,0,Email Address,GE03c,/CO02a/GE03c,$.Accounting Entries.Entity Information.Accountant.Contact.Email Address,AccntEntrs.EnttyInfrm.Accnt.Cnt.EmlAdr,【Eメールアドレス】,Eメールアドレスの構造体。,gl-bus:accountantContactEmail
1108,6,A,,Usage,xbrli:stringItemType,0..1,,"E-mail address usage (e.g. orders, head office, IR)",gl-cor,0,Email Address,GE03c_01,/CO02a/GE03c_01,$.Accounting Entries.Entity Information.Accountant.Contact.Email Address.Usage,AccntEntrs.EnttyInfrm.Accnt.Cnt.EmlAdr.Usg,Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),gl-bus:accountantContactEmailAddressUsage
1109,6,A,,Address,xbrli:stringItemType,0..1,,E-mail address,gl-cor,0,Email Address,GE03c_02,/CO02a/GE03c_02,$.Accounting Entries.Entity Information.Accountant.Contact.Email Address.Address,AccntEntrs.EnttyInfrm.Accnt.Cnt.EmlAdr.Adr,Eメールアドレス,Eメールアドレス。,gl-bus:accountantContactEmailAddress
